N_value,P_value,K_value,Fertilizer
2.39,         6.00,         0.42,         30
1.08,         21.00,         0.14,         60
0.77,         4.00,         0.21,         115
2.35,         23.00,         0.27,         30
1.59,         21.00,         0.44,         40
0.36,         6.00,         0.71,         100
1.70,         2.00,         0.48,         55
0.45,         26.00,         0.26,         90
0.90,         17.00,         0.44,         80
2.19,         26.00,         0.50,         25
1.59,         12.00,         0.42,         40
1.38,         18.00,         0.67,         50
0.92,         22.00,         0.33,         90
0.91,         18.00,         0.22,         60
1.89,         23.00,         0.23,         60
2.31,         16.00,         0.55,         20
2.31,         17.00,         0.56,         20
0.81,         24.00,         0.69,         80
0.82,         16.00,         0.72,         90
0.48,         15.00,         0.50,         100
1.03,         29.00,         0.22,         60
2.04,         13.00,         0.67,         50
1.68,         15.00,         0.22,         35
2.06,         6.00,         0.44,         45
1.50,         21.00,         0.72,         50
1.65,         22.00,         0.32,         40
0.58,         15.00,         0.43,         80
2.20,         23.00,         0.30,         25
1.97,         1.00,         0.55,         55
0.45,         24.00,         0.61,         110
0.69,         22.00,         0.66,         80
1.09,         25.00,         0.23,         60
2.07,         7.00,         0.53,         45
1.51,         26.00,         0.59,         40
1.77,         7.00,         0.51,         45
1.84,         18.00,         0.42,         40
1.30,         9.00,         0.70,         50
1.04,         28.00,         0.68,         50
0.75,         3.00,         0.71,         80
1.99,         10.00,         0.15,         60
2.20,         20.00,         0.42,         20
1.87,         26.00,         0.41,         40
0.40,         1.00,         0.50,         120
0.48,         20.00,         0.47,         100
2.21,         11.00,         0.74,         20
2.30,         0.00,         0.24,         50
0.69,         27.00,         0.13,         90
1.15,         14.00,         0.71,         50
1.05,         2.00,         0.51,         55
1.32,         22.00,         0.54,         40
1.75,         16.00,         0.57,         40
2.24,         11.00,         0.68,         20
1.82,         7.00,         0.25,         45
0.31,         10.00,         0.50,         100
1.11,         5.00,         0.39,         45
0.63,         27.00,         0.38,         90
0.78,         15.00,         0.45,         80
1.80,         23.00,         0.49,         40
1.01,         0.00,         0.55,         55
1.36,         11.00,         0.47,         40
0.55,         7.00,         0.36,         60
0.77,         27.00,         0.19,         90
0.36,         28.00,         0.16,         110
1.00,         9.00,         0.17,         60
1.98,         23.00,         0.16,         60
2.24,         0.00,         0.71,         30
1.93,         27.00,         0.50,         40
0.52,         23.00,         0.32,         90
0.69,         12.00,         0.74,         90
2.30,         9.00,         0.31,         20
1.00,         10.00,         0.70,         90
0.48,         24.00,         0.54,         100
2.16,         22.00,         0.42,         25
0.56,         2.00,         0.26,         115
1.92,         24.00,         0.48,         40
0.77,         15.00,         0.30,         60
2.23,         2.00,         0.45,         50
1.29,         5.00,         0.21,         45
0.51,         20.00,         0.44,         80
1.94,         20.00,         0.73,         50
2.04,         8.00,         0.62,         50
0.66,         25.00,         0.14,         90
1.16,         14.00,         0.68,         50
2.11,         1.00,         0.56,         50
0.66,         8.00,         0.44,         80
2.15,         8.00,         0.63,         20
1.02,         25.00,         0.18,         60
2.15,         24.00,         0.57,         25
0.76,         26.00,         0.17,         90
0.87,         3.00,         0.31,         90
0.65,         5.00,         0.23,         100
0.95,         12.00,         0.38,         80
1.88,         16.00,         0.26,         35
1.13,         29.00,         0.38,         40
1.91,         28.00,         0.39,         40
0.52,         8.00,         0.71,         90
2.33,         28.00,         0.48,         25
2.23,         24.00,         0.46,         25
1.45,         4.00,         0.15,         80
2.14,         27.00,         0.75,         10
0.91,         8.00,         0.41,         80
0.73,         19.00,         0.43,         80
0.56,         20.00,         0.29,         60
1.33,         22.00,         0.69,         50
0.44,         18.00,         0.58,         100
0.32,         8.00,         0.24,         110
2.22,         6.00,         0.55,         30
0.38,         25.00,         0.22,         90
1.11,         21.00,         0.56,         40
1.72,         6.00,         0.59,         45
1.52,         8.00,         0.54,         40
2.26,         3.00,         0.18,         50
0.59,         29.00,         0.36,         90
0.74,         20.00,         0.65,         90
1.75,         2.00,         0.40,         55
0.63,         1.00,         0.39,         110
0.62,         1.00,         0.75,         100
2.18,         6.00,         0.55,         30
1.34,         0.00,         0.57,         55
2.00,         20.00,         0.23,         35
1.11,         8.00,         0.39,         40
0.62,         29.00,         0.21,         90
0.45,         23.00,         0.36,         100
0.55,         15.00,         0.30,         60
2.33,         1.00,         0.68,         30
0.64,         9.00,         0.69,         90
0.52,         19.00,         0.25,         60
0.32,         25.00,         0.26,         90
1.26,         27.00,         0.59,         40
1.44,         23.00,         0.27,         60
1.53,         13.00,         0.69,         50
0.38,         8.00,         0.62,         100
2.20,         9.00,         0.56,         20
1.01,         8.00,         0.32,         40
2.18,         20.00,         0.18,         50
2.26,         28.00,         0.16,         60
0.84,         6.00,         0.73,         100
1.43,         16.00,         0.48,         40
0.80,         21.00,         0.23,         90
0.64,         10.00,         0.69,         90
0.48,         21.00,         0.63,         110
1.56,         27.00,         0.62,         50
1.53,         19.00,         0.61,         50
1.65,         21.00,         0.15,         60
1.37,         20.00,         0.32,         40
0.96,         6.00,         0.34,         60
2.03,         1.00,         0.33,         110
0.30,         19.00,         0.13,         110
1.99,         18.00,         0.73,         50
0.89,         11.00,         0.54,         80
1.98,         28.00,         0.34,         40
1.54,         8.00,         0.53,         40
1.46,         6.00,         0.41,         45
0.65,         20.00,         0.50,         80
1.33,         16.00,         0.23,         35
1.81,         20.00,         0.21,         35
2.33,         0.00,         0.35,         50
0.74,         0.00,         0.28,         115
1.88,         18.00,         0.21,         35
2.38,         18.00,         0.35,         20
1.27,         26.00,         0.67,         50
2.14,         7.00,         0.29,         40
1.65,         19.00,         0.30,         35
1.75,         2.00,         0.17,         90
0.61,         25.00,         0.66,         80
0.87,         0.00,         0.69,         100
1.20,         4.00,         0.34,         45
0.51,         24.00,         0.13,         90
1.28,         18.00,         0.33,         40
1.43,         6.00,         0.54,         45
1.46,         1.00,         0.47,         55
0.47,         1.00,         0.58,         120
0.63,         10.00,         0.61,         90
0.85,         15.00,         0.35,         80
2.26,         10.00,         0.19,         50
1.22,         19.00,         0.71,         50
0.47,         14.00,         0.14,         110
1.36,         15.00,         0.64,         50
0.57,         19.00,         0.13,         110
0.95,         18.00,         0.66,         90
1.90,         1.00,         0.57,         55
1.92,         12.00,         0.12,         60
2.14,         10.00,         0.38,         20
2.35,         21.00,         0.14,         60
0.71,         12.00,         0.40,         80
1.36,         25.00,         0.14,         60
1.58,         16.00,         0.59,         40
0.48,         10.00,         0.29,         110
2.17,         25.00,         0.20,         30
0.33,         19.00,         0.54,         100
2.00,         17.00,         0.52,         100
0.94,         10.00,         0.56,         80
0.53,         6.00,         0.13,         115
1.24,         12.00,         0.65,         50
0.45,         18.00,         0.29,         110
1.76,         28.00,         0.66,         50
0.94,         15.00,         0.70,         90
0.68,         7.00,         0.24,         100
0.34,         26.00,         0.18,         110
1.49,         4.00,         0.20,         80
2.36,         0.00,         0.73,         30
2.11,         0.00,         0.64,         30
1.98,         6.00,         0.57,         45
0.81,         20.00,         0.68,         90
1.19,         17.00,         0.60,         40
0.67,         12.00,         0.53,         80
0.33,         29.00,         0.32,         100
0.64,         20.00,         0.29,         60
0.50,         26.00,         0.50,         100
1.05,         13.00,         0.14,         60
1.94,         6.00,         0.55,         45
0.86,         15.00,         0.27,         60
1.75,         15.00,         0.66,         50
0.47,         12.00,         0.19,         110
1.12,         21.00,         0.34,         40
2.05,         1.00,         0.15,         90
2.03,         15.00,         0.73,         50
2.27,         20.00,         0.41,         20
2.09,         11.00,         0.70,         20
1.05,         25.00,         0.62,         50
1.44,         2.00,         0.35,         55
0.72,         29.00,         0.47,         90
2.06,         19.00,         0.37,         80
2.33,         6.00,         0.26,         40
0.32,         20.00,         0.47,         100
1.08,         16.00,         0.42,         40
0.35,         16.00,         0.52,         100
0.57,         29.00,         0.31,         90
1.89,         4.00,         0.40,         45
2.11,         26.00,         0.18,         60
0.86,         3.00,         0.42,         90
1.72,         12.00,         0.69,         50
0.45,         5.00,         0.32,         90
1.20,         15.00,         0.21,         40
2.29,         0.00,         0.60,         50
2.25,         7.00,         0.18,         50
1.44,         27.00,         0.49,         40
1.63,         29.00,         0.59,         40
0.87,         17.00,         0.51,         80
0.95,         9.00,         0.34,         80
2.13,         23.00,         0.65,         10
0.31,         20.00,         0.28,         110
1.14,         7.00,         0.28,         45
1.58,         25.00,         0.58,         40
1.56,         7.00,         0.44,         45
0.52,         25.00,         0.54,         90
0.82,         7.00,         0.71,         100
2.18,         26.00,         0.65,         10
0.55,         17.00,         0.52,         80
1.85,         12.00,         0.22,         35
0.60,         12.00,         0.38,         80
1.55,         24.00,         0.64,         50
2.16,         8.00,         0.53,         20
1.86,         21.00,         0.25,         60
1.78,         10.00,         0.20,         35
2.33,         29.00,         0.74,         10
1.60,         29.00,         0.55,         40
0.76,         12.00,         0.75,         90
1.13,         9.00,         0.26,         35
1.16,         2.00,         0.68,         60
1.66,         21.00,         0.17,         60
1.99,         18.00,         0.45,         40
1.54,         21.00,         0.40,         40
0.68,         2.00,         0.38,         110
1.45,         11.00,         0.29,         35
0.40,         10.00,         0.69,         100
1.60,         11.00,         0.45,         40
2.06,         20.00,         0.54,         40
2.06,         7.00,         0.13,         80
1.86,         21.00,         0.71,         50
1.18,         26.00,         0.59,         40
0.48,         10.00,         0.62,         100
1.37,         7.00,         0.16,         80
2.07,         16.00,         0.27,         35
0.99,         17.00,         0.29,         60
1.73,         12.00,         0.27,         35
2.15,         18.00,         0.22,         30
2.16,         22.00,         0.41,         25
1.28,         27.00,         0.38,         40
0.88,         8.00,         0.21,         60
2.06,         26.00,         0.49,         90
1.09,         4.00,         0.75,         50
2.20,         18.00,         0.62,         20
0.77,         27.00,         0.46,         90
0.87,         23.00,         0.50,         90
2.01,         27.00,         0.74,         80
0.74,         4.00,         0.60,         60
0.69,         20.00,         0.33,         80
0.90,         14.00,         0.42,         80
1.60,         22.00,         0.27,         60
1.35,         9.00,         0.15,         60
0.80,         3.00,         0.35,         80
0.96,         22.00,         0.63,         80
0.37,         13.00,         0.18,         110
1.41,         17.00,         0.27,         35
1.63,         22.00,         0.34,         40
0.34,         29.00,         0.75,         110
2.27,         23.00,         0.62,         10
1.28,         14.00,         0.72,         50
1.22,         21.00,         0.32,         40
2.25,         18.00,         0.50,         20
0.67,         12.00,         0.71,         90
1.13,         22.00,         0.49,         40
0.81,         3.00,         0.41,         90
1.00,         7.00,         0.52,         45
0.47,         26.00,         0.65,         110
1.81,         19.00,         0.26,         35
0.73,         27.00,         0.59,         90
0.53,         24.00,         0.29,         90
0.98,         3.00,         0.16,         90
2.11,         18.00,         0.34,         20
1.87,         6.00,         0.39,         45
1.22,         16.00,         0.55,         40
2.25,         14.00,         0.41,         20
1.98,         4.00,         0.23,         45
0.93,         0.00,         0.68,         100
1.18,         25.00,         0.22,         60
1.30,         28.00,         0.40,         40
1.11,         1.00,         0.42,         55
0.57,         10.00,         0.69,         90
0.54,         1.00,         0.69,         100
1.65,         11.00,         0.52,         40
1.42,         24.00,         0.28,         60
0.85,         26.00,         0.37,         90
1.27,         22.00,         0.70,         50
1.75,         18.00,         0.50,         40
1.92,         19.00,         0.53,         40
1.37,         12.00,         0.17,         60
2.21,         22.00,         0.46,         25
0.49,         6.00,         0.65,         100
0.95,         9.00,         0.26,         60
0.50,         19.00,         0.67,         90
0.48,         1.00,         0.37,         120
1.83,         27.00,         0.62,         50
0.55,         21.00,         0.50,         90
1.64,         13.00,         0.37,         40
0.53,         5.00,         0.27,         100
2.28,         0.00,         0.36,         50
1.02,         19.00,         0.13,         60
2.07,         2.00,         0.71,         60
1.56,         26.00,         0.55,         40
1.66,         24.00,         0.16,         60
1.22,         29.00,         0.29,         60
1.81,         23.00,         0.47,         40
1.35,         4.00,         0.41,         45
0.88,         19.00,         0.44,         80
0.84,         12.00,         0.55,         80
1.23,         21.00,         0.21,         40
0.65,         10.00,         0.53,         80
0.45,         22.00,         0.15,         110
1.62,         9.00,         0.49,         40
1.02,         4.00,         0.32,         45
1.39,         29.00,         0.36,         40
2.23,         23.00,         0.39,         25
1.84,         9.00,         0.55,         40
1.28,         1.00,         0.75,         60
0.47,         22.00,         0.65,         110
1.12,         23.00,         0.28,         60
2.25,         29.00,         0.14,         60
0.51,         22.00,         0.22,         90
0.76,         5.00,         0.22,         100
0.86,         17.00,         0.18,         110
2.37,         1.00,         0.40,         50
2.19,         20.00,         0.47,         20
1.00,         12.00,         0.41,         40
1.49,         27.00,         0.47,         40
2.25,         9.00,         0.14,         50
1.47,         0.00,         0.36,         55
2.37,         19.00,         0.70,         20
1.72,         17.00,         0.62,         50
0.62,         28.00,         0.64,         80
1.28,         8.00,         0.42,         40
1.74,         4.00,         0.58,         45
1.60,         13.00,         0.29,         35
1.47,         11.00,         0.73,         50
0.33,         15.00,         0.36,         100
2.04,         19.00,         0.69,         100
0.38,         0.00,         0.23,         115
1.76,         19.00,         0.52,         40
1.59,         12.00,         0.13,         60
2.31,         21.00,         0.49,         25
1.02,         15.00,         0.59,         40
1.41,         17.00,         0.74,         50
1.61,         13.00,         0.48,         40
1.49,         9.00,         0.28,         35
1.36,         4.00,         0.56,         45
1.01,         20.00,         0.32,         40
1.10,         12.00,         0.58,         40
0.56,         20.00,         0.44,         80
0.88,         15.00,         0.54,         80
0.47,         5.00,         0.70,         100
0.60,         20.00,         0.62,         90
0.41,         20.00,         0.37,         100
2.08,         19.00,         0.17,         110
0.31,         22.00,         0.36,         100
0.88,         16.00,         0.20,         80
0.99,         14.00,         0.72,         90
0.85,         14.00,         0.55,         80
2.00,         16.00,         0.63,         50
1.97,         22.00,         0.30,         40
0.76,         17.00,         0.67,         90
0.92,         8.00,         0.41,         80
1.55,         5.00,         0.73,         50
0.77,         9.00,         0.15,         110
1.97,         11.00,         0.19,         60
1.33,         12.00,         0.46,         40
2.04,         5.00,         0.54,         45
1.11,         25.00,         0.13,         60
1.12,         12.00,         0.68,         50
0.80,         18.00,         0.62,         90
1.45,         17.00,         0.46,         40
1.46,         15.00,         0.62,         50
0.43,         18.00,         0.29,         110
1.11,         6.00,         0.31,         45
1.29,         16.00,         0.46,         40
2.33,         15.00,         0.37,         20
0.41,         13.00,         0.72,         100
1.35,         28.00,         0.19,         60
0.89,         14.00,         0.39,         80
2.31,         28.00,         0.52,         25
2.25,         25.00,         0.61,         10
2.20,         1.00,         0.48,         50
0.41,         10.00,         0.54,         100
0.74,         24.00,         0.75,         80
2.14,         11.00,         0.12,         50
1.07,         28.00,         0.14,         60
2.19,         26.00,         0.57,         25
1.02,         22.00,         0.63,         50
2.31,         13.00,         0.19,         50
1.49,         6.00,         0.24,         45
1.09,         3.00,         0.25,         45
1.31,         13.00,         0.20,         35
1.56,         27.00,         0.71,         50
0.45,         6.00,         0.72,         100
1.74,         14.00,         0.36,         40
0.95,         21.00,         0.26,         90
0.77,         25.00,         0.44,         90
1.86,         11.00,         0.34,         40
1.97,         21.00,         0.65,         50
1.88,         15.00,         0.65,         50
2.23,         19.00,         0.36,         20
1.89,         22.00,         0.23,         60
2.40,         19.00,         0.59,         20
0.37,         27.00,         0.75,         110
1.50,         16.00,         0.17,         60
0.84,         3.00,         0.28,         60
2.34,         29.00,         0.16,         60
0.87,         18.00,         0.19,         110
1.00,         25.00,         0.65,         50
1.18,         22.00,         0.39,         40
1.57,         26.00,         0.39,         40
0.87,         6.00,         0.69,         100
1.13,         13.00,         0.31,         40
1.94,         22.00,         0.30,         60
1.25,         4.00,         0.47,         45
2.06,         18.00,         0.41,         40
1.46,         22.00,         0.40,         40
2.06,         1.00,         0.62,         60
1.11,         4.00,         0.18,         80
0.35,         12.00,         0.63,         100
1.78,         18.00,         0.73,         50
2.30,         1.00,         0.50,         50
1.52,         22.00,         0.30,         40
1.62,         13.00,         0.70,         50
1.76,         0.00,         0.71,         60
1.98,         7.00,         0.33,         45
1.99,         12.00,         0.67,         50
1.36,         18.00,         0.72,         50
1.79,         29.00,         0.74,         50
1.38,         20.00,         0.23,         35
0.99,         7.00,         0.69,         100
0.81,         5.00,         0.29,         100
0.99,         17.00,         0.40,         80
1.33,         9.00,         0.37,         40
1.34,         11.00,         0.73,         50
2.03,         11.00,         0.70,         50
0.58,         0.00,         0.46,         110
1.12,         2.00,         0.61,         60
1.96,         25.00,         0.23,         60
1.91,         2.00,         0.32,         55
2.21,         21.00,         0.70,         10
0.95,         18.00,         0.62,         90
1.73,         27.00,         0.47,         40
2.18,         28.00,         0.33,         25
2.22,         13.00,         0.33,         20
1.86,         0.00,         0.73,         60
1.22,         12.00,         0.68,         50
1.18,         21.00,         0.26,         60
0.47,         27.00,         0.30,         100
1.95,         23.00,         0.45,         40
0.75,         12.00,         0.14,         110
2.14,         17.00,         0.62,         20
1.89,         29.00,         0.60,         50
2.09,         17.00,         0.51,         40
0.71,         2.00,         0.19,         120
1.33,         14.00,         0.31,         40
1.92,         4.00,         0.55,         45
1.87,         29.00,         0.30,         60
0.91,         21.00,         0.23,         90
1.33,         28.00,         0.68,         50
0.82,         17.00,         0.34,         80
2.20,         18.00,         0.28,         30
2.10,         11.00,         0.13,         50
2.33,         29.00,         0.13,         60
0.68,         6.00,         0.65,         100
0.66,         21.00,         0.42,         90
1.64,         24.00,         0.40,         40
1.90,         13.00,         0.34,         40
2.11,         21.00,         0.47,         25
0.41,         15.00,         0.38,         100
1.32,         1.00,         0.31,         55
1.95,         25.00,         0.13,         60
1.42,         14.00,         0.33,         40
0.82,         29.00,         0.75,         80
1.28,         6.00,         0.44,         45
0.56,         16.00,         0.24,         60
1.28,         27.00,         0.23,         60
1.59,         4.00,         0.48,         45
0.89,         6.00,         0.39,         60
0.88,         13.00,         0.72,         90
1.31,         27.00,         0.65,         50
1.21,         28.00,         0.66,         50
1.34,         22.00,         0.64,         50
2.17,         27.00,         0.62,         10
0.99,         1.00,         0.40,         110
0.85,         8.00,         0.54,         80
1.25,         27.00,         0.71,         50
1.22,         13.00,         0.59,         40
1.78,         26.00,         0.66,         50
1.29,         5.00,         0.26,         45
0.64,         5.00,         0.14,         115
1.86,         9.00,         0.58,         40
0.76,         8.00,         0.42,         80
1.48,         21.00,         0.19,         60
0.33,         11.00,         0.63,         100
1.86,         19.00,         0.70,         50
1.99,         25.00,         0.47,         40
1.86,         7.00,         0.73,         50
1.33,         12.00,         0.13,         60
2.38,         13.00,         0.29,         30
1.43,         8.00,         0.13,         60
1.28,         16.00,         0.73,         50
2.13,         12.00,         0.17,         50
0.36,         14.00,         0.45,         100
2.10,         22.00,         0.42,         25
1.85,         26.00,         0.37,         40
0.87,         28.00,         0.71,         80
1.53,         4.00,         0.27,         45
1.13,         16.00,         0.28,         35
0.70,         16.00,         0.14,         110
2.31,         0.00,         0.46,         50
0.37,         26.00,         0.41,         100
0.80,         1.00,         0.28,         115
1.26,         28.00,         0.66,         50
0.75,         28.00,         0.25,         90
1.69,         7.00,         0.51,         45
0.62,         20.00,         0.27,         60
0.77,         6.00,         0.13,         115
0.71,         3.00,         0.17,         115
1.52,         3.00,         0.12,         80
0.78,         17.00,         0.61,         90
0.47,         10.00,         0.49,         100
2.39,         5.00,         0.15,         50
0.77,         6.00,         0.27,         100
1.15,         0.00,         0.71,         60
1.74,         20.00,         0.22,         35
2.25,         24.00,         0.24,         30
0.42,         11.00,         0.51,         100
0.91,         22.00,         0.36,         90
0.85,         26.00,         0.26,         90
2.35,         19.00,         0.24,         30
0.79,         25.00,         0.61,         80
1.84,         5.00,         0.24,         45
0.71,         11.00,         0.15,         110
0.83,         13.00,         0.15,         110
1.53,         5.00,         0.42,         45
1.08,         10.00,         0.20,         40
1.69,         3.00,         0.64,         50
1.23,         5.00,         0.12,         80
0.57,         0.00,         0.26,         115
0.54,         16.00,         0.53,         80
1.93,         3.00,         0.21,         35
2.20,         5.00,         0.47,         30
2.34,         28.00,         0.25,         30
0.37,         15.00,         0.74,         100
1.53,         20.00,         0.74,         50
0.38,         12.00,         0.41,         100
1.02,         16.00,         0.75,         50
0.64,         11.00,         0.53,         80
1.07,         6.00,         0.39,         45
2.36,         0.00,         0.59,         50
0.63,         5.00,         0.45,         60
1.67,         13.00,         0.43,         40
1.57,         15.00,         0.44,         40
0.32,         8.00,         0.27,         110
0.82,         22.00,         0.43,         90
0.35,         1.00,         0.15,         120
2.10,         28.00,         0.58,         100
0.31,         19.00,         0.55,         100
1.58,         16.00,         0.54,         40
0.91,         19.00,         0.63,         90
1.16,         28.00,         0.45,         40
2.30,         23.00,         0.25,         30
1.41,         21.00,         0.56,         40
2.20,         2.00,         0.64,         30
1.56,         24.00,         0.58,         40
1.39,         21.00,         0.21,         40
2.02,         2.00,         0.54,         55
1.24,         9.00,         0.45,         40
0.87,         28.00,         0.57,         90
1.26,         4.00,         0.37,         45
1.72,         6.00,         0.55,         45
2.30,         8.00,         0.45,         20
1.59,         23.00,         0.50,         40
1.43,         28.00,         0.29,         60
1.66,         19.00,         0.65,         50
0.56,         7.00,         0.20,         100
1.55,         23.00,         0.21,         60
0.78,         15.00,         0.50,         80
0.47,         15.00,         0.35,         100
1.12,         7.00,         0.13,         80
2.22,         4.00,         0.41,         30
2.36,         7.00,         0.15,         50
0.49,         17.00,         0.65,         100
0.84,         25.00,         0.24,         90
0.99,         11.00,         0.55,         80
2.37,         28.00,         0.54,         25
1.85,         8.00,         0.42,         40
1.22,         2.00,         0.38,         55
1.30,         13.00,         0.18,         60
0.89,         20.00,         0.66,         90
1.65,         21.00,         0.71,         50
2.18,         9.00,         0.14,         50
0.69,         26.00,         0.59,         90
1.51,         1.00,         0.38,         55
1.17,         17.00,         0.52,         40
1.99,         14.00,         0.74,         50
1.72,         22.00,         0.50,         40
0.53,         20.00,         0.69,         90
0.51,         29.00,         0.37,         90
0.30,         2.00,         0.24,         115
1.83,         12.00,         0.65,         50
1.32,         4.00,         0.17,         80
1.78,         29.00,         0.56,         40
0.68,         1.00,         0.25,         115
0.52,         18.00,         0.54,         80
1.02,         29.00,         0.47,         40
1.08,         13.00,         0.70,         50
0.57,         1.00,         0.63,         100
1.77,         28.00,         0.18,         60
0.35,         5.00,         0.33,         90
0.67,         23.00,         0.68,         80
1.22,         8.00,         0.74,         50
2.25,         8.00,         0.35,         20
0.50,         14.00,         0.20,         100
1.59,         5.00,         0.40,         45
1.89,         20.00,         0.38,         40
2.32,         24.00,         0.39,         25
0.93,         5.00,         0.25,         100
1.11,         5.00,         0.73,         50
1.76,         23.00,         0.19,         60
0.60,         0.00,         0.69,         100
1.88,         4.00,         0.29,         45
1.42,         14.00,         0.46,         40
1.17,         1.00,         0.21,         80
2.12,         27.00,         0.13,         60
0.51,         24.00,         0.32,         90
1.12,         29.00,         0.47,         40
2.35,         4.00,         0.51,         30
0.64,         25.00,         0.30,         90
1.96,         26.00,         0.26,         60
1.48,         18.00,         0.21,         35
0.68,         8.00,         0.49,         80
1.93,         24.00,         0.22,         60
1.68,         19.00,         0.33,         40
2.14,         4.00,         0.23,         40
1.27,         0.00,         0.26,         80
1.48,         0.00,         0.66,         60
0.54,         29.00,         0.13,         90
0.69,         22.00,         0.30,         90
1.69,         7.00,         0.27,         45
2.21,         29.00,         0.43,         25
1.03,         1.00,         0.73,         60
2.14,         20.00,         0.36,         20
2.09,         12.00,         0.21,         20
1.88,         29.00,         0.73,         50
1.56,         19.00,         0.62,         50
1.19,         10.00,         0.67,         50
2.11,         25.00,         0.50,         25
1.64,         10.00,         0.74,         50
0.50,         16.00,         0.41,         100
1.71,         11.00,         0.21,         35
2.08,         24.00,         0.48,         40
1.90,         11.00,         0.24,         35
1.35,         0.00,         0.14,         90
0.63,         28.00,         0.45,         90
2.15,         16.00,         0.73,         20
1.83,         0.00,         0.24,         80
1.27,         14.00,         0.43,         40
0.55,         19.00,         0.13,         110
0.32,         17.00,         0.74,         100
0.95,         7.00,         0.56,         60
0.75,         1.00,         0.72,         100
1.74,         4.00,         0.68,         50
2.07,         28.00,         0.41,         40
0.60,         12.00,         0.38,         80
0.47,         21.00,         0.42,         100
1.20,         15.00,         0.54,         40
2.39,         12.00,         0.21,         30
1.81,         27.00,         0.39,         40
2.24,         9.00,         0.51,         20
1.54,         20.00,         0.14,         60
1.90,         16.00,         0.46,         40
0.59,         22.00,         0.51,         90
0.79,         29.00,         0.25,         90
2.38,         6.00,         0.70,         30
0.84,         18.00,         0.24,         60
0.72,         4.00,         0.29,         100
1.52,         3.00,         0.12,         80
1.58,         19.00,         0.35,         40
1.61,         22.00,         0.33,         40
1.78,         11.00,         0.39,         40
0.58,         1.00,         0.38,         110
1.62,         0.00,         0.73,         60
2.39,         25.00,         0.36,         25
1.24,         6.00,         0.28,         45
1.42,         21.00,         0.25,         60
0.32,         21.00,         0.29,         90
1.05,         15.00,         0.61,         50
1.38,         19.00,         0.72,         50
1.57,         25.00,         0.20,         50
1.10,         22.00,         0.26,         60
1.38,         19.00,         0.58,         40
1.30,         28.00,         0.16,         60
0.70,         6.00,         0.22,         100
1.52,         0.00,         0.31,         55
1.91,         14.00,         0.70,         50
1.75,         0.00,         0.42,         55
1.56,         15.00,         0.43,         40
1.01,         19.00,         0.28,         35
1.33,         25.00,         0.22,         60
2.35,         9.00,         0.48,         20
2.13,         17.00,         0.62,         20
0.37,         19.00,         0.38,         100
0.33,         24.00,         0.28,         90
0.33,         12.00,         0.16,         110
0.41,         0.00,         0.49,         120
0.70,         22.00,         0.31,         90
0.70,         21.00,         0.13,         90
1.34,         2.00,         0.70,         60
0.49,         9.00,         0.73,         100
0.95,         20.00,         0.40,         80
1.42,         5.00,         0.27,         45
0.88,         25.00,         0.42,         90
1.26,         4.00,         0.63,         50
1.11,         6.00,         0.26,         45
0.53,         1.00,         0.54,         110
